X,Y,OBJECTID,DD_MM_YYY,TIME,LOCATION,DEPTH,MAG,EVALMODE,TYPE,MAG_100,GM_CODE,GM_NAAM,WATER,OAD,STED,BEV_DICHTH
759198.927561520016752,7020450.211959379725158,97,23-11-1993 0:00:00,16:19,Slochteren,3,2.200000000000000,manual,ind,220,GM0040,Slochteren,NEE,221,5,110
749402.812361589982174,6932107.680458519607782,98,17-11-1996 0:00:00,1:12,Wachtum,3,2.200000000000000,manual,ind,220,GM0109,Coevorden,NEE,488,5,119
756193.3013070699526,6998180.128821689635515,99,22-9-2000 0:00:00,9:36,Nieuw Annerveen,3,2.200000000000000,manual,ind,220,GM1680,Aa en Hunze,NEE,279,5,92
747733.019998800009489,7042223.65764432027936,100,5-2-2002 0:00:00,17:45,Stedum,3,2.200000000000000,manual,ind,220,GM0024,Loppersum,NEE,208,5,89
741610.447999289957806,7049867.790364219807088,101,3-3-2003 0:00:00,21:21,Middelstum,3,2.200000000000000,manual,ind,220,GM0024,Loppersum,NEE,208,5,89
758085.732652480015531,7014505.436318339779973,102,5-8-2005 0:00:00,0:28,Sappemeer,3,2.200000000000000,manual,ind,220,GM0018,Hoogezand-Sappemeer,NEE,1249,3,515
754523.508943740045652,7035517.78886544983834,103,23-3-2006 0:00:00,21:50,Overschild,3,2.200000000000000,manual,ind,220,GM0040,Slochteren,NEE,221,5,110
748957.534398769959807,7052666.261787749826908,104,18-5-2008 0:00:00,3:21,Garsthuizen,3,2.200000000000000,manual,ind,220,GM0024,Loppersum,NEE,208,5,89
749736.770835079951212,7053785.926324130035937,105,7-11-2008 0:00:00,6:28,Garsthuizen,3,2.200000000000000,manual,ind,220,GM0024,Loppersum,NEE,208,5,89
750293.368289569974877,7049867.790363529697061,106,1-2-2009 0:00:00,3:50,Zeerijp,3,2.200000000000000,manual,ind,220,GM0024,Loppersum,NEE,208,5,89
741053.850544770015404,7048375.67503712978214,107,30-12-2011 0:00:00,16:33,Middelstum,3,2.200000000000000,manual,ind,220,GM0024,Loppersum,NEE,208,5,89
757974.413161689997651,7039801.441757810302079,108,1-11-2016 0:00:00,0:00,Wirdum,3,2.200000000000000,manual,ind,220,GM0024,Loppersum,NEE,208,5,89
714893.770182610023767,7010235.366670199669898,109,2-9-1996 0:00:00,22:04,Roden,3,2.100000000000000,manual,ind,210,GM1699,Noordenveld,NEE,681,4,165
784802.410468579968438,6952351.248363710008562,110,18-8-1997 0:00:00,6:00,Roswinkel,2,2.100000000000000,manual,ind,210,GM0114,Emmen,NEE,846,4,321
754412.189452899969183,7049681.260629580356181,111,13-1-1999 0:00:00,0:43,Het Zandt,3,2.100000000000000,manual,ind,210,GM0024,Loppersum,NEE,208,5,89
783132.618105059955269,6951798.471701869741082,112,14-2-2002 0:00:00,17:45,Roswinkel,2,2.100000000000000,manual,ind,210,GM0114,Emmen,NEE,846,4,321
741721.767490220023319,7055652.384536609984934,113,10-6-2004 0:00:00,17:16,Zandeweer,3,2.100000000000000,manual,ind,210,GM1651,Eemsmond,NEE,359,5,83
784245.81301408004947,6952351.248363760299981,114,25-3-2006 0:00:00,3:21,Roswinkel,2,2.100000000000000,manual,ind,210,GM0114,Emmen,NEE,846,4,321
751072.604725869954564,7048562.174136339686811,115,9-6-2007 0:00:00,15:07,Zeerijp,3,2.100000000000000,manual,ind,210,GM0024,Loppersum,NEE,208,5,89
755636.703852670034394,7018963.602114889770746,116,30-9-2007 0:00:00,15:07,Froombosch,3,2.100000000000000,manual,ind,210,GM0040,Slochteren,NEE,221,5,110
745506.630180699983612,7028259.469636290334165,117,16-8-2013 0:00:00,22:19,Lageland,3,2.100000000000000,manual,ind,210,GM0014,Groningen,NEE,3448,1,2125
736712.390399669995531,7055465.718985780142248,118,18-3-2014 0:00:00,6:00,Rottum,3,2.100000000000000,manual,ind,210,GM1651,Eemsmond,NEE,359,5,83
755859.342834490002133,7022680.647100459784269,119,2-7-2014 0:00:00,16:04,Slochteren,3,2.100000000000000,manual,ind,210,GM0040,Slochteren,NEE,221,5,110
738159.543781229993328,7031608.640611539594829,120,7-7-2015 0:00:00,19:12,Zuidwolde,3,2.100000000000000,manual,ind,210,GM0005,Bedum,NEE,678,4,235
761870.595343159977347,7023424.26431284006685,121,2-9-2016 0:00:00,21:36,Schildwolde,3,2.100000000000000,manual,ind,210,GM0040,Slochteren,NEE,221,5,110
752631.07759848004207,7048002.689961450174451,122,11-3-2017 0:00:00,0:00,Zeerijp,3,2.100000000000000,manual,ind,210,GM0024,Loppersum,NEE,208,5,89
743057.601381010026671,7051360.185836910270154,123,22-9-1993 0:00:00,19:40,Eppenhuizen,3,2.000000000000000,manual,ind,200,GM1651,Eemsmond,NEE,359,5,83
750627.326762279961258,7052106.4886693097651,124,19-7-1994 0:00:00,16:04,Garsthuizen,3,2.000000000000000,manual,ind,200,GM0024,Loppersum,NEE,208,5,89
748066.978471220005304,6994659.728740889579058,125,31-1-1995 0:00:00,14:52,Annen,3,2.000000000000000,manual,ind,200,GM1680,Aa en Hunze,NEE,279,5,92
743614.198835500050336,7049867.79036405030638,126,6-4-1995 0:00:00,10:48,Huizinge,3,2.000000000000000,manual,ind,200,GM0024,Loppersum,NEE,208,5,89
739161.419199440046214,7046697.379988799802959,127,29-2-1996 0:00:00,10:04,Middelstum,3,2.000000000000000,manual,ind,200,GM0024,Loppersum,NEE,208,5,89
